family	task	label	positive_count	negative_count	test_size	random_seed	model	Accuracy	Balanced Accuracy	ROC AUC	F1 Score	Precision	Recall	Time Taken
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	ExtraTreesClassifier	0.8913043478260869	0.5439024390243903	0.826829268292683	0.8576002696326256	0.8565217391304347	0.8913043478260869	0.2599208354949951
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	DecisionTreeClassifier	0.8804347826086957	0.5378048780487805	0.5378048780487805	0.8506913884488254	0.8374043315420941	0.8804347826086957	0.5558288097381592
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	DummyClassifier	0.8913043478260869	0.5	0.5	0.8400799600199899	0.7944234404536862	0.8913043478260869	0.05536484718322754
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	CalibratedClassifierCV	0.8804347826086957	0.49390243902439024	0.748780487804878	0.8346318170394571	0.7933588150979454	0.8804347826086957	3.2246973514556885
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	LabelSpreading	0.8804347826086957	0.49390243902439024		0.8346318170394571	0.7933588150979454	0.8804347826086957	0.10595560073852539
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	LabelPropagation	0.8804347826086957	0.49390243902439024		0.8346318170394571	0.7933588150979454	0.8804347826086957	0.08821487426757812
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	Perceptron	0.9239130434782609	0.8256097560975609	0.7817073170731708	0.9254912421090069	0.9274630361586883	0.9239130434782609	0.07249927520751953
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	PassiveAggressiveClassifier	0.9021739130434783	0.7695121951219512	0.8609756097560977	0.904203025568723	0.9065778558532182	0.9021739130434783	0.11857318878173828
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	LinearSVC	0.8913043478260869	0.7195121951219512	0.8951219512195122	0.8913043478260869	0.8913043478260869	0.8913043478260869	0.8961195945739746
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	ExtraTreeClassifier	0.8695652173913043	0.7073170731707317	0.7073170731707318	0.874688918167179	0.8808876811594203	0.8695652173913043	0.09754371643066406
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	KNeighborsClassifier	0.9130434782608695	0.6878048780487804	0.8603658536585366	0.9032091097308488	0.9015840916750927	0.9130434782608695	0.10622167587280273
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	RidgeClassifierCV	0.9021739130434783	0.6817073170731707	0.8097560975609756	0.8944208769162442	0.8905005480453051	0.9021739130434783	0.16052508354187012
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	RidgeClassifier	0.9021739130434783	0.6817073170731707	0.8073170731707318	0.8944208769162442	0.8905005480453051	0.9021739130434783	0.11307740211486816
